Temp(K)	    k(W/m-K)
1176.0	     3.48
1177.0	     3.48
1178.0	     3.47
1179.0	     3.47
1180.0	     3.47
1181.0	     3.46
1182.0	     3.46
1183.0	     3.46
1184.0	     3.46
1185.0	     3.45
1186.0	     3.45
1187.0	     3.45
1188.0	     3.45
1189.0	     3.44
1190.0	     3.44
1191.0	     3.44
1192.0	     3.44
1193.0	     3.43
1194.0	     3.43
1195.0	     3.43
1196.0	     3.42
1197.0	     3.42
1198.0	     3.42
1199.0	     3.42
1200.0	     3.41
1201.0	     3.41
1202.0	     3.41
1203.0	     3.41
1204.0	     3.4
1205.0	     3.4
1206.0	     3.4
1207.0	     3.4
1208.0	     3.39
1209.0	     3.39
1210.0	     3.39
1211.0	     3.39
1212.0	     3.38
1213.0	     3.38
1214.0	     3.38
1215.0	     3.38
1216.0	     3.37
1217.0	     3.37
1218.0	     3.37
1219.0	     3.37
1220.0	     3.36
1221.0	     3.36
1222.0	     3.36
1223.0	     3.36
1224.0	     3.35
1225.0	     3.35
1226.0	     3.35
1227.0	     3.35
1228.0	     3.34
1229.0	     3.34
1230.0	     3.34
1231.0	     3.34
1232.0	     3.33
1233.0	     3.33
1234.0	     3.33
1235.0	     3.33
1236.0	     3.32
1237.0	     3.32
1238.0	     3.32
1239.0	     3.32
1240.0	     3.31
1241.0	     3.31
1242.0	     3.31
1243.0	     3.31
1244.0	     3.3
1245.0	     3.3
1246.0	     3.3
1247.0	     3.3
1248.0	     3.29
1249.0	     3.29
1250.0	     3.29
1251.0	     3.29
1252.0	     3.29
1253.0	     3.28
1254.0	     3.28
1255.0	     3.28
1256.0	     3.28
1257.0	     3.27
1258.0	     3.27
1259.0	     3.27
1260.0	     3.27
1261.0	     3.26
1262.0	     3.26
1263.0	     3.26
1264.0	     3.26
1265.0	     3.25
1266.0	     3.25
1267.0	     3.25
1268.0	     3.25
1269.0	     3.25
1270.0	     3.24
1271.0	     3.24
1272.0	     3.24
1273.0	     3.24
1274.0	     3.23
1275.0	     3.23
1276.0	     3.23
1277.0	     3.23
1278.0	     3.22
1279.0	     3.22
1280.0	     3.22
1281.0	     3.22
1282.0	     3.22
1283.0	     3.21
1284.0	     3.21
1285.0	     3.21
1286.0	     3.21
1287.0	     3.2
1288.0	     3.2
1289.0	     3.2
1290.0	     3.2
1291.0	     3.19
1292.0	     3.19
1293.0	     3.19
1294.0	     3.19
1295.0	     3.19
1296.0	     3.18
1297.0	     3.18
1298.0	     3.18
1299.0	     3.18
1300.0	     3.17
1301.0	     3.17
1302.0	     3.17
1303.0	     3.17
1304.0	     3.17
1305.0	     3.16
1306.0	     3.16
1307.0	     3.16
1308.0	     3.16
1309.0	     3.16
1310.0	     3.15
1311.0	     3.15
1312.0	     3.15
1313.0	     3.15
1314.0	     3.14
1315.0	     3.14
1316.0	     3.14
1317.0	     3.14
1318.0	     3.14
1319.0	     3.13
1320.0	     3.13
1321.0	     3.13
1322.0	     3.13
1323.0	     3.12
1324.0	     3.12
1325.0	     3.12
1326.0	     3.12
1327.0	     3.12
1328.0	     3.11
1329.0	     3.11
1330.0	     3.11
1331.0	     3.11
1332.0	     3.11
1333.0	     3.1
1334.0	     3.1
1335.0	     3.1
1336.0	     3.1
1337.0	     3.1
1338.0	     3.09
1339.0	     3.09
1340.0	     3.09
1341.0	     3.09
1342.0	     3.09
1343.0	     3.08
1344.0	     3.08
1345.0	     3.08
1346.0	     3.08
1347.0	     3.07
1348.0	     3.07
1349.0	     3.07
1350.0	     3.07
1351.0	     3.07
1352.0	     3.06
1353.0	     3.06
1354.0	     3.06
1355.0	     3.06
1356.0	     3.06
1357.0	     3.05
1358.0	     3.05
1359.0	     3.05
1360.0	     3.05
1361.0	     3.05
1362.0	     3.04
1363.0	     3.04
1364.0	     3.04
1365.0	     3.04
1366.0	     3.04
1367.0	     3.03
1368.0	     3.03
1369.0	     3.03
1370.0	     3.03
1371.0	     3.03
1372.0	     3.02
1373.0	     3.02
1374.0	     3.02
1375.0	     3.02
1376.0	     3.02
1377.0	     3.02
1378.0	     3.01
1379.0	     3.01
1380.0	     3.01
1381.0	     3.01
1382.0	     3.01
1383.0	     3.0
1384.0	     3.0
1385.0	     3.0
1386.0	     3.0
1387.0	     3.0
1388.0	     2.99
1389.0	     2.99
1390.0	     2.99
1391.0	     2.99
1392.0	     2.99
1393.0	     2.98
1394.0	     2.98
1395.0	     2.98
1396.0	     2.98
1397.0	     2.98
1398.0	     2.98
1399.0	     2.97
1400.0	     2.97
1401.0	     2.97
1402.0	     2.97
1403.0	     2.97
1404.0	     2.96
1405.0	     2.96
1406.0	     2.96
1407.0	     2.96
1408.0	     2.96
1409.0	     2.96
1410.0	     2.95
1411.0	     2.95
1412.0	     2.95
1413.0	     2.95
1414.0	     2.95
1415.0	     2.94
1416.0	     2.94
1417.0	     2.94
1418.0	     2.94
1419.0	     2.94
1420.0	     2.94
1421.0	     2.93
1422.0	     2.93
1423.0	     2.93
1424.0	     2.93
1425.0	     2.93
1426.0	     2.92
1427.0	     2.92
1428.0	     2.92
1429.0	     2.92
1430.0	     2.92
1431.0	     2.92
1432.0	     2.91
1433.0	     2.91
1434.0	     2.91
1435.0	     2.91
1436.0	     2.91
1437.0	     2.91
1438.0	     2.9
1439.0	     2.9
1440.0	     2.9
1441.0	     2.9
1442.0	     2.9
1443.0	     2.9
1444.0	     2.89
1445.0	     2.89
1446.0	     2.89
1447.0	     2.89
1448.0	     2.89
1449.0	     2.89
1450.0	     2.88
1451.0	     2.88
1452.0	     2.88
1453.0	     2.88
1454.0	     2.88
1455.0	     2.88
1456.0	     2.87
1457.0	     2.87
1458.0	     2.87
1459.0	     2.87
1460.0	     2.87
1461.0	     2.87
1462.0	     2.86
1463.0	     2.86
1464.0	     2.86
1465.0	     2.86
1466.0	     2.86
1467.0	     2.86
1468.0	     2.85
1469.0	     2.85
1470.0	     2.85
1471.0	     2.85
1472.0	     2.85
1473.0	     2.85
1474.0	     2.84
1475.0	     2.84
1476.0	     2.84
1477.0	     2.84
1478.0	     2.84
1479.0	     2.84
1480.0	     2.83
1481.0	     2.83
1482.0	     2.83
1483.0	     2.83
1484.0	     2.83
1485.0	     2.83
1486.0	     2.83
1487.0	     2.82
1488.0	     2.82
1489.0	     2.82
1490.0	     2.82
1491.0	     2.82
1492.0	     2.82
1493.0	     2.81
1494.0	     2.81
1495.0	     2.81
1496.0	     2.81
1497.0	     2.81
1498.0	     2.81
1499.0	     2.81
1500.0	     2.8
1501.0	     2.8
1502.0	     2.8
1503.0	     2.8
1504.0	     2.8
1505.0	     2.8
1506.0	     2.8
1507.0	     2.79
1508.0	     2.79
1509.0	     2.79
1510.0	     2.79
1511.0	     2.79
1512.0	     2.79
1513.0	     2.79
1514.0	     2.78
1515.0	     2.78
1516.0	     2.78
1517.0	     2.78
1518.0	     2.78
1519.0	     2.78
1520.0	     2.78
1521.0	     2.77
1522.0	     2.77
1523.0	     2.77
1524.0	     2.77
1525.0	     2.77
1526.0	     2.77
1527.0	     2.77
1528.0	     2.76
1529.0	     2.76
1530.0	     2.76
1531.0	     2.76
1532.0	     2.76
1533.0	     2.76
1534.0	     2.76
1535.0	     2.75
1536.0	     2.75
1537.0	     2.75
1538.0	     2.75
1539.0	     2.75
1540.0	     2.75
1541.0	     2.75
1542.0	     2.74
1543.0	     2.74
1544.0	     2.74
1545.0	     2.74
1546.0	     2.74
1547.0	     2.74
1548.0	     2.74
1549.0	     2.74
1550.0	     2.73
1551.0	     2.73
1552.0	     2.73
1553.0	     2.73
1554.0	     2.73
1555.0	     2.73
1556.0	     2.73
1557.0	     2.72
1558.0	     2.72
1559.0	     2.72
1560.0	     2.72
1561.0	     2.72
1562.0	     2.72
1563.0	     2.72
1564.0	     2.72
1565.0	     2.71
1566.0	     2.71
1567.0	     2.71
1568.0	     2.71
1569.0	     2.71
1570.0	     2.71
1571.0	     2.71
1572.0	     2.71
1573.0	     2.7
1574.0	     2.7
1575.0	     2.7
1576.0	     2.7
1577.0	     2.7
1578.0	     2.7
1579.0	     2.7
1580.0	     2.7
1581.0	     2.7
1582.0	     2.69
1583.0	     2.69
1584.0	     2.69
1585.0	     2.69
1586.0	     2.69
1587.0	     2.69
1588.0	     2.69
1589.0	     2.69
1590.0	     2.68
1591.0	     2.68
1592.0	     2.68
1593.0	     2.68
1594.0	     2.68
1595.0	     2.68
1596.0	     2.68
1597.0	     2.68
1598.0	     2.68
1599.0	     2.67
1600.0	     2.67
1601.0	     2.67
1602.0	     2.67
1603.0	     2.67
1604.0	     2.67
1605.0	     2.67
1606.0	     2.67
1607.0	     2.67
1608.0	     2.66
1609.0	     2.66
1610.0	     2.66
1611.0	     2.66
1612.0	     2.66
1613.0	     2.66
1614.0	     2.66
1615.0	     2.66
1616.0	     2.66
1617.0	     2.65
1618.0	     2.65
1619.0	     2.65
1620.0	     2.65
1621.0	     2.65
1622.0	     2.65
1623.0	     2.65
1624.0	     2.65
1625.0	     2.65
1626.0	     2.65
1627.0	     2.64
1628.0	     2.64
1629.0	     2.64
1630.0	     2.64
1631.0	     2.64
1632.0	     2.64
1633.0	     2.64
1634.0	     2.64
1635.0	     2.64
1636.0	     2.64
1637.0	     2.63
1638.0	     2.63
1639.0	     2.63
1640.0	     2.63
1641.0	     2.63
1642.0	     2.63
1643.0	     2.63
1644.0	     2.63
1645.0	     2.63
1646.0	     2.63
1647.0	     2.62
1648.0	     2.62
1649.0	     2.62
1650.0	     2.62
1651.0	     2.62
1652.0	     2.62
1653.0	     2.62
1654.0	     2.62
1655.0	     2.62
1656.0	     2.62
1657.0	     2.62
1658.0	     2.61
1659.0	     2.61
1660.0	     2.61
1661.0	     2.61
1662.0	     2.61
1663.0	     2.61
1664.0	     2.61
1665.0	     2.61
1666.0	     2.61
1667.0	     2.61
1668.0	     2.61
1669.0	     2.6
1670.0	     2.6
1671.0	     2.6
1672.0	     2.6
1673.0	     2.6
1674.0	     2.6
1675.0	     2.6
1676.0	     2.6
1677.0	     2.6
1678.0	     2.6
1679.0	     2.6
1680.0	     2.6
1681.0	     2.59
1682.0	     2.59
1683.0	     2.59
1684.0	     2.59
1685.0	     2.59
1686.0	     2.59
1687.0	     2.59
1688.0	     2.59
1689.0	     2.59
1690.0	     2.59
1691.0	     2.59
1692.0	     2.59
1693.0	     2.59
1694.0	     2.58
1695.0	     2.58
1696.0	     2.58
1697.0	     2.58
1698.0	     2.58
1699.0	     2.58
1700.0	     2.58
1701.0	     2.58
1702.0	     2.58
1703.0	     2.58
1704.0	     2.58
1705.0	     2.58
1706.0	     2.58
1707.0	     2.57
1708.0	     2.57
1709.0	     2.57
1710.0	     2.57
1711.0	     2.57
1712.0	     2.57
1713.0	     2.57
1714.0	     2.57
1715.0	     2.57
1716.0	     2.57
1717.0	     2.57
